! demo8(p).gr.dat : [1..401][1..14]
 +2.000E+001 +4.000E+001 +1.000E+000 +4.852E+008 -5.319E-003 +1.541E+003 +5.003E-001 +1.541E+003 +1.541E+004 +1.063E-001 +3.451E-006 +0.000E+000 +1.063E-001 +3.451E-006
 +1.980E+001 +3.980E+001 +1.000E+000 +4.390E+008 -4.812E-003 +1.395E+003 +4.952E-001 +1.394E+003 +1.394E+004 +9.620E-002 +3.451E-006 +0.000E+000 +9.620E-002 +3.451E-006
 +1.960E+001 +3.960E+001 +1.000E+000 +3.972E+008 -4.354E-003 +1.262E+003 +4.902E-001 +1.262E+003 +1.262E+004 +8.705E-002 +3.451E-006 +0.000E+000 +8.705E-002 +3.451E-006
 +1.940E+001 +3.940E+001 +1.000E+000 +3.594E+008 -3.940E-003 +1.142E+003 +4.852E-001 +1.142E+003 +1.142E+004 +7.876E-002 +3.451E-006 +0.000E+000 +7.876E-002 +3.451E-006
 +1.920E+001 +3.920E+001 +1.000E+000 +3.252E+008 -3.565E-003 +1.033E+003 +4.802E-001 +1.033E+003 +1.033E+004 +7.127E-002 +3.451E-006 +0.000E+000 +7.127E-002 +3.451E-006
 +1.900E+001 +3.900E+001 +1.000E+000 +2.943E+008 -3.226E-003 +9.351E+002 +4.752E-001 +9.346E+002 +9.346E+003 +6.449E-002 +3.451E-006 +0.000E+000 +6.449E-002 +3.451E-006
 +1.880E+001 +3.880E+001 +1.000E+000 +2.663E+008 -2.919E-003 +8.461E+002 +4.702E-001 +8.457E+002 +8.457E+003 +5.835E-002 +3.451E-006 +0.000E+000 +5.835E-002 +3.451E-006
 +1.860E+001 +3.860E+001 +1.000E+000 +2.409E+008 -2.641E-003 +7.657E+002 +4.652E-001 +7.652E+002 +7.652E+003 +5.280E-002 +3.451E-006 +0.000E+000 +5.280E-002 +3.451E-006
 +1.840E+001 +3.840E+001 +1.000E+000 +2.180E+008 -2.390E-003 +6.928E+002 +4.602E-001 +6.924E+002 +6.924E+003 +4.777E-002 +3.451E-006 +0.000E+000 +4.777E-002 +3.451E-006
 +1.820E+001 +3.820E+001 +1.000E+000 +1.973E+008 -2.162E-003 +6.269E+002 +4.552E-001 +6.265E+002 +6.265E+003 +4.323E-002 +3.451E-006 +0.000E+000 +4.323E-002 +3.451E-006
 +1.800E+001 +3.800E+001 +1.000E+000 +1.785E+008 -1.957E-003 +5.673E+002 +4.502E-001 +5.669E+002 +5.669E+003 +3.911E-002 +3.451E-006 +0.000E+000 +3.911E-002 +3.451E-006
 +1.780E+001 +3.780E+001 +1.000E+000 +1.615E+008 -1.770E-003 +5.134E+002 +4.452E-001 +5.129E+002 +5.129E+003 +3.539E-002 +3.451E-006 +0.000E+000 +3.539E-002 +3.451E-006
