pattern 0 0 pattern 1 10 pattern 2 20 pattern 0 10 pattern 1 20 pattern 2 30
pattern 0 1 pattern 1 11 pattern 2 21 pattern 0 11 pattern 1 21 pattern 2 31
pattern 0 2 pattern 1 12 pattern 2 22 pattern 0 12 pattern 1 22 pattern 2 32
pattern 0 3 pattern 1 13 pattern 2 23 pattern 0 13 pattern 1 23 pattern 2 33
pattern 0 4 pattern 1 14 pattern 2 24 pattern 0 14 pattern 1 24 pattern 2 34
pattern 0 5 pattern 1 15 pattern 2 25 pattern 0 15 pattern 1 25 pattern 2 35
pattern 0 6 pattern 1 16 pattern 2 26 pattern 0 16 pattern 1 26 pattern 2 36
pattern 0 7 pattern 1 17 pattern 2 27 pattern 0 17 pattern 1 27 pattern 2 37
pattern 0 8 pattern 1 18 pattern 2 28 pattern 0 18 pattern 1 28 pattern 2 38
pattern 0 9 pattern 1 19 pattern 2 29 pattern 0 19 pattern 1 29 pattern 2 39





