,int64,float64,complex128,object,bool
0,1,1.0,(1+0j),1.0,True
1,1,1.0,(1+0j),1.0,True
2,1,1.0,(1+0j),1.0,True
3,1,1.0,(1+0j),1.0,True
4,1,1.0,(1+0j),1.0,True
5,1,1.0,(1+0j),1.0,True
6,1,1.0,(1+0j),1.0,True
7,1,1.0,(1+0j),1.0,True
8,1,1.0,(1+0j),1.0,True
9,1,1.0,(1+0j),1.0,True
10,1,1.0,(1+0j),1.0,True
11,1,1.0,(1+0j),1.0,True
12,1,1.0,(1+0j),1.0,True
13,1,1.0,(1+0j),1.0,True
14,1,1.0,(1+0j),1.0,True
15,1,1.0,(1+0j),1.0,True
16,1,1.0,(1+0j),1.0,True
17,1,1.0,(1+0j),1.0,True
18,1,1.0,(1+0j),1.0,True
19,1,1.0,(1+0j),1.0,True
20,1,1.0,(1+0j),1.0,True
21,1,1.0,(1+0j),1.0,True
22,1,1.0,(1+0j),1.0,True
23,1,1.0,(1+0j),1.0,True
24,1,1.0,(1+0j),1.0,True
25,1,1.0,(1+0j),1.0,True
26,1,1.0,(1+0j),1.0,True
27,1,1.0,(1+0j),1.0,True
28,1,1.0,(1+0j),1.0,True
29,1,1.0,(1+0j),1.0,True
30,1,1.0,(1+0j),1.0,True
31,1,1.0,(1+0j),1.0,True
32,1,1.0,(1+0j),1.0,True
33,1,1.0,(1+0j),1.0,True
34,1,1.0,(1+0j),1.0,True
35,1,1.0,(1+0j),1.0,True
36,1,1.0,(1+0j),1.0,True
37,1,1.0,(1+0j),1.0,True
38,1,1.0,(1+0j),1.0,True
39,1,1.0,(1+0j),1.0,True
40,1,1.0,(1+0j),1.0,True
41,1,1.0,(1+0j),1.0,True
42,1,1.0,(1+0j),1.0,True
43,1,1.0,(1+0j),1.0,True
44,1,1.0,(1+0j),1.0,True
45,1,1.0,(1+0j),1.0,True
46,1,1.0,(1+0j),1.0,True
47,1,1.0,(1+0j),1.0,True
48,1,1.0,(1+0j),1.0,True
49,1,1.0,(1+0j),1.0,True
50,1,1.0,(1+0j),1.0,True
51,1,1.0,(1+0j),1.0,True
52,1,1.0,(1+0j),1.0,True
53,1,1.0,(1+0j),1.0,True
54,1,1.0,(1+0j),1.0,True
55,1,1.0,(1+0j),1.0,True
56,1,1.0,(1+0j),1.0,True
57,1,1.0,(1+0j),1.0,True
58,1,1.0,(1+0j),1.0,True
59,1,1.0,(1+0j),1.0,True
