xx yy kga030.w01	xx yy kga030.w02	xx yy kga030.w03	xx yy kga030.w04	xx yy kga030.w05	xx yy kga030.w06	xx yy kga030.w07	xx yy kga030.w08	xx yy kga030.w09
30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18
31 31 +2.000e-05	28 32 +1.100e-18	28 31 +1.100e-18	29 31 +1.100e-18	30 31 +1.100e-18	27 32 +1.100e-18	33 32 +5.020e-05	27 32 +1.100e-18	30 31 +1.100e-18
32 31 +2.416e-05	29 32 +1.206e-04	29 31 +7.180e-05	30 31 +1.100e-18	35 32 +1.100e-18	28 32 +1.100e-18	34 32 +6.660e-05	29 32 +1.100e-18	31 31 +1.100e-18
35 32 +9.620e-05	30 32 +5.220e-05	31 31 +2.314e-05	31 31 +1.246e-04	34 32 +7.480e-05	29 32 +1.100e-18	35 32 +1.100e-18	30 32 +1.100e-18	33 31 +8.780e-05
32 32 +1.100e-18	31 32 +3.664e-05	32 31 +2.214e-05	32 31 +1.100e-18	33 32 +5.380e-05	30 32 +5.680e-05	36 33 +1.100e-18	33 32 +2.098e-05	34 32 +8.080e-05
28 32 +1.100e-18	33 32 +3.434e-05	34 31 +2.548e-05	33 31 +1.006e-04	32 32 +4.920e-05	33 32 +1.100e-18	35 33 +7.600e-05	34 32 +1.100e-18	32 32 +1.100e-18
27 32 +1.100e-18	35 33 +4.880e-05	35 32 +1.100e-18	35 32 +1.100e-18	31 32 +1.100e-18	34 32 +6.620e-05	34 33 +3.798e-05	35 32 +1.100e-18	31 32 +5.580e-05
26 33 +1.100e-18	34 33 +2.892e-05	34 32 +2.254e-05	34 32 +8.780e-05	30 32 +8.460e-05	36 33 +1.100e-18	31 33 +1.100e-18	35 33 +1.100e-18	29 32 +1.100e-18
27 33 +1.100e-18	33 33 +1.100e-18	33 32 +1.100e-18	33 32 +6.780e-05	29 32 +1.100e-18	35 33 +6.980e-05	30 33 +3.510e-05	34 33 +1.896e-05	28 32 +1.100e-18
28 33 +1.100e-18	32 33 +2.608e-05	32 32 +1.750e-05	31 32 +7.600e-05	28 32 +1.100e-18	34 33 +1.100e-18	28 34 +1.100e-18	32 33 +1.376e-05	27 32 +1.100e-18
31 33 +1.100e-18	31 33 +2.882e-05	31 32 +1.904e-05	30 32 +1.100e-18	27 33 +1.100e-18	33 33 +2.458e-05	30 34 +4.160e-05	31 33 +1.302e-05	26 33 +1.100e-18
34 33 +1.812e-05	31 34 +3.290e-05	30 32 +1.100e-18	29 32 +1.100e-18	29 33 +1.100e-18	32 33 +1.100e-18	32 34 +5.720e-05	30 33 +1.100e-18	28 33 +1.100e-18
36 33 +1.192e-04	33 34 +1.100e-18	29 32 +4.960e-05	28 32 +1.100e-18	30 33 +1.100e-18	31 33 +2.194e-05	34 34 +2.818e-05	29 33 +1.984e-05	30 33 +3.556e-05
37 34 +1.100e-18	34 34 +1.100e-18	28 32 +1.314e-04	26 33 +1.100e-18	31 33 +1.100e-18	29 33 +1.100e-18	35 34 +3.372e-05	28 33 +4.860e-05	33 33 +3.068e-05
36 34 +1.100e-18	35 34 +2.896e-05	27 32 +1.100e-18	27 33 +1.100e-18	33 33 +3.272e-05	26 33 +1.100e-18	37 35 +1.100e-18	26 33 +1.100e-18	34 33 +4.090e-05
35 34 +1.962e-05	36 35 +3.786e-05	27 33 +1.100e-18	28 33 +1.100e-18	34 33 +3.976e-05	25 34 +1.100e-18	35 35 +1.100e-18	25 33 +1.100e-18	35 33 +1.100e-18
25 35 +1.100e-18	35 35 +1.100e-18	28 33 +4.120e-05	31 33 +1.100e-18	35 33 +7.600e-05	26 34 +1.100e-18	34 35 +3.226e-05	28 34 +1.718e-05	37 34 +1.100e-18
26 35 +5.360e-05	34 35 +3.286e-05	29 33 +2.062e-05	34 33 +5.100e-05	36 33 +1.100e-18	27 34 +1.100e-18	32 35 +1.100e-18	29 34 +1.100e-18	36 34 +1.118e-04
27 35 +1.100e-18	33 35 +4.520e-05	30 33 +1.662e-05	35 33 +9.940e-05	36 34 +9.160e-05	28 34 +1.100e-18	31 35 +1.100e-18	30 34 +1.494e-05	34 34 +2.788e-05
29 35 +1.264e-05	32 35 +5.880e-05	31 33 +1.100e-18	36 33 +1.100e-18	35 34 +1.100e-18	30 34 +1.100e-18	30 35 +9.220e-05	31 34 +1.100e-18	33 34 +2.762e-05
30 35 +1.530e-05	31 35 +4.180e-05	32 33 +1.524e-05	36 34 +1.074e-04	34 34 +3.592e-05	31 34 +3.090e-05	28 35 +1.100e-18	32 34 +1.586e-05	32 34 +1.100e-18
31 35 +1.602e-05	30 35 +4.084e-05	33 33 +1.100e-18	34 34 +1.100e-18	33 34 +1.100e-18	32 34 +1.100e-18	27 35 +1.100e-18	34 34 +1.100e-18	31 34 +3.822e-05
32 35 +1.964e-05	27 35 +1.100e-18	34 33 +1.560e-05	33 34 +4.120e-05	32 34 +3.620e-05	33 34 +2.082e-05	29 36 +1.100e-18	35 34 +1.830e-05	30 34 +1.100e-18
34 35 +1.100e-18	26 35 +1.100e-18	35 33 +2.442e-05	29 34 +4.880e-05	31 34 +3.008e-05	34 34 +2.346e-05	30 36 +1.022e-04	37 34 +1.100e-18	29 34 +3.596e-05
35 35 +1.504e-05	25 35 +1.100e-18	36 33 +6.040e-05	27 34 +1.100e-18	29 34 +1.100e-18	35 34 +1.100e-18	31 36 +1.380e-04	34 35 +1.100e-18	28 34 +4.720e-05
37 35 +1.100e-18	26 36 +1.134e-04	37 34 +1.380e-04	26 34 +1.100e-18	28 34 +1.100e-18	36 34 +7.600e-05	33 36 +1.100e-18	31 35 +3.328e-05	26 34 +1.100e-18
37 36 +5.720e-05	29 36 +5.880e-05	36 34 +2.906e-05	26 35 +1.100e-18	27 34 +1.100e-18	37 34 +1.100e-18	34 36 +1.100e-18	30 35 +2.056e-05	25 35 +1.100e-18
36 36 +1.738e-05	30 36 +1.100e-18	32 34 +1.674e-05	28 35 +1.100e-18	27 35 +5.480e-05	37 35 +1.100e-18	35 36 +1.100e-18	27 35 +1.100e-18	27 35 +1.100e-18
35 36 +1.546e-05	31 36 +9.640e-05	31 34 +1.740e-05	29 35 +1.100e-18	28 35 +3.162e-05	36 35 +4.380e-05	37 36 +1.100e-18	24 36 +1.100e-18	29 35 +1.100e-18
32 36 +1.100e-18	32 36 +1.100e-18	30 34 +1.100e-18	30 35 +1.100e-18	30 35 +1.100e-18	35 35 +1.100e-18	37 37 +8.800e-05	28 36 +1.442e-05	30 35 +6.720e-05
31 36 +1.794e-05	34 36 +4.480e-05	28 34 +1.990e-05	31 35 +1.100e-18	34 35 +1.100e-18	34 35 +2.514e-05	34 37 +1.100e-18	34 36 +1.966e-05	31 35 +1.100e-18
30 36 +1.526e-05	36 36 +3.030e-05	27 34 +4.088e-05	32 35 +7.560e-05	36 35 +1.100e-18	33 35 +1.100e-18	33 37 +1.044e-04	38 37 +1.100e-18	32 35 +1.100e-18
29 36 +1.100e-18	37 36 +8.720e-05	26 34 +1.100e-18	33 35 +1.100e-18	37 35 +1.100e-18	31 35 +5.320e-05	32 37 +1.178e-04	33 37 +1.982e-05	33 35 +1.100e-18
27 36 +1.314e-05	37 37 +1.100e-18	25 34 +1.100e-18	34 35 +5.040e-05	37 36 +1.310e-04	30 35 +1.100e-18	31 37 +1.188e-04	32 37 +1.790e-05	34 35 +1.100e-18
