xx yy kga030.w10	xx yy kga030.w11	xx yy kga030.w12	xx yy kga030.w13	xx yy kga030.w14	xx yy kga030.w15	xx yy kga030.w16	xx yy kga030.w17	xx yy kga030.w18	xx yy kga030.w19
30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18
30 31 +1.100e-18	33 31 +8.340e-05	30 31 +1.100e-18	29 31 +1.100e-18	30 31 +1.100e-18	29 31 +1.100e-18	31 31 +1.100e-18	28 31 +1.100e-18	30 31 +1.100e-18	30 31 +1.370e-04
31 31 +1.990e-05	35 32 +1.100e-18	32 31 +8.540e-05	30 31 +1.100e-18	31 31 +1.118e-04	30 31 +1.100e-18	32 31 +1.100e-18	31 31 +1.100e-18	31 31 +6.460e-05	33 31 +1.100e-18
35 32 +1.100e-18	33 32 +4.860e-05	35 32 +1.100e-18	31 31 +1.134e-04	34 31 +9.380e-05	31 31 +1.364e-04	33 31 +2.094e-05	33 31 +6.480e-05	32 31 +6.080e-05	35 32 +1.100e-18
34 32 +2.530e-05	32 32 +4.100e-05	33 32 +5.720e-05	32 31 +9.120e-05	35 32 +1.100e-18	33 31 +1.132e-04	35 32 +1.100e-18	34 31 +1.100e-18	33 32 +3.976e-05	34 32 +5.240e-05
33 32 +1.100e-18	31 32 +4.420e-05	32 32 +4.400e-05	35 32 +1.100e-18	34 32 +7.780e-05	35 32 +1.100e-18	32 32 +1.954e-05	35 32 +1.100e-18	32 32 +3.582e-05	33 32 +3.872e-05
32 32 +1.100e-18	30 32 +6.860e-05	31 32 +5.160e-05	33 32 +4.980e-05	33 32 +5.440e-05	34 32 +1.044e-04	31 32 +1.100e-18	34 32 +1.100e-18	31 32 +1.100e-18	32 32 +3.732e-05
31 32 +1.100e-18	29 32 +1.100e-18	30 32 +1.100e-18	31 32 +5.200e-05	32 32 +5.320e-05	32 32 +1.100e-18	30 32 +1.100e-18	33 32 +5.380e-05	30 32 +1.100e-18	31 32 +4.240e-05
29 32 +1.100e-18	28 32 +1.100e-18	29 32 +1.100e-18	30 32 +8.300e-05	31 32 +1.100e-18	31 32 +7.180e-05	29 32 +1.100e-18	32 32 +5.260e-05	29 32 +1.100e-18	30 32 +6.460e-05
25 33 +1.100e-18	27 32 +1.100e-18	28 32 +1.100e-18	29 32 +1.100e-18	29 32 +1.100e-18	29 33 +1.100e-18	28 32 +9.300e-05	31 32 +1.100e-18	26 33 +1.100e-18	29 32 +1.100e-18
