xx yy kga030.w10	xx yy kga030.w11	xx yy kga030.w12	xx yy kga030.w13	xx yy kga030.w14	xx yy kga030.w15	xx yy kga030.w16	xx yy kga030.w17	xx yy kga030.w18	xx yy kga030.w19
30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18
30 31 +1.100e-18	33 31 +1.100e-18	30 31 +1.100e-18	29 31 +1.390e-03	30 31 +2.228e-04	29 31 +1.100e-18	31 31 +1.100e-18	28 31 +7.942e-03	30 31 +1.100e-18	30 31 +1.100e-18
31 31 +1.100e-18	35 32 +2.220e-04	32 31 +1.100e-18	30 31 +1.100e-18	31 31 +1.100e-18	30 31 +1.100e-18	32 31 +1.100e-18	31 31 +1.100e-18	31 31 +1.100e-18	33 31 +1.100e-18
35 32 +1.100e-18	33 32 +1.100e-18	35 32 +3.506e-04	31 31 +1.100e-18	34 31 +1.100e-18	31 31 +1.100e-18	33 31 +1.100e-18	33 31 +1.100e-18	32 31 +1.100e-18	35 32 +1.528e-04
34 32 +1.100e-18	32 32 +1.100e-18	33 32 +1.100e-18	32 31 +1.100e-18	35 32 +2.142e-04	33 31 +1.100e-18	35 32 +1.100e-18	34 31 +1.100e-18	33 32 +1.100e-18	34 32 +1.100e-18
33 32 +1.100e-18	31 32 +1.100e-18	32 32 +1.100e-18	35 32 +2.404e-04	34 32 +1.100e-18	35 32 +1.100e-18	32 32 +1.100e-18	35 32 +1.706e-04	32 32 +1.100e-18	33 32 +1.100e-18
32 32 +1.100e-18	30 32 +1.100e-18	31 32 +1.100e-18	33 32 +1.100e-18	33 32 +1.100e-18	34 32 +1.100e-18	31 32 +1.100e-18	34 32 +1.100e-18	31 32 +1.100e-18	32 32 +1.100e-18
31 32 +1.100e-18	29 32 +1.610e-04	30 32 +1.100e-18	31 32 +1.100e-18	32 32 +1.100e-18	32 32 +1.100e-18	30 32 +1.100e-18	33 32 +1.100e-18	30 32 +1.100e-18	31 32 +1.100e-18
29 32 +1.766e-03	28 32 +7.840e-04	29 32 +1.100e-18	30 32 +1.100e-18	31 32 +1.100e-18	31 32 +1.100e-18	29 32 +1.100e-18	32 32 +1.100e-18	29 32 +1.100e-18	30 32 +1.100e-18
25 33 +1.100e-18	27 32 +1.666e-02	28 32 +9.420e-04	29 32 +2.326e-04	29 32 +2.152e-04	29 33 +1.100e-18	28 32 +1.100e-18	31 32 +1.100e-18	26 33 +2.094e-02	29 32 +1.582e-04
26 33 +1.324e-03	26 33 +1.574e-02	25 33 +1.100e-18	28 32 +1.100e-18	28 32 +1.238e-03	30 33 +1.100e-18	27 32 +1.100e-18	30 32 +1.100e-18	27 33 +1.248e-03	28 32 +1.610e-02
33 33 +1.100e-18	27 33 +1.100e-18	27 33 +1.164e-03	25 33 +1.100e-18	27 32 +1.860e-02	31 33 +1.480e-03	30 33 +1.100e-18	29 32 +2.360e-04	28 33 +1.414e-04	27 32 +1.100e-18
34 33 +1.100e-18	28 33 +1.100e-18	28 33 +1.522e-04	26 33 +1.100e-18	25 33 +1.100e-18	32 33 +1.100e-18	31 33 +1.100e-18	28 32 +1.316e-03	29 33 +1.100e-18	26 33 +1.100e-18
36 33 +1.100e-18	31 33 +1.100e-18	30 33 +1.100e-18	27 33 +1.724e-03	26 33 +1.100e-18	33 33 +1.100e-18	33 33 +1.100e-18	26 32 +1.100e-18	30 33 +1.100e-18	27 33 +1.640e-03
36 34 +1.100e-18	32 33 +1.100e-18	31 33 +1.100e-18	29 33 +1.100e-18	29 33 +1.100e-18	34 33 +1.100e-18	35 33 +1.100e-18	26 33 +1.100e-18	32 33 +1.100e-18	28 33 +3.488e-04
33 34 +1.100e-18	33 33 +1.100e-18	32 33 +1.100e-18	30 33 +1.100e-18	31 33 +1.100e-18	35 33 +1.100e-18	37 34 +2.436e-04	28 33 +1.100e-18	33 33 +1.100e-18	29 33 +1.100e-18
32 34 +1.100e-18	34 33 +1.100e-18	33 33 +1.100e-18	31 33 +1.100e-18	32 33 +1.100e-18	36 33 +4.064e-04	36 34 +1.100e-18	29 33 +1.100e-18	34 33 +1.100e-18	30 33 +1.100e-18
31 34 +1.100e-18	36 34 +1.100e-18	34 33 +1.100e-18	32 33 +1.100e-18	34 33 +1.100e-18	37 34 +1.100e-18	35 34 +1.100e-18	30 33 +1.100e-18	36 33 +2.074e-04	31 33 +1.100e-18
30 34 +1.100e-18	35 34 +1.100e-18	35 33 +1.100e-18	33 33 +1.100e-18	35 33 +1.100e-18	36 34 +1.100e-18	34 34 +1.100e-18	32 33 +1.100e-18	37 34 +1.100e-18	33 33 +3.344e-04
29 34 +1.100e-18	34 34 +1.100e-18	36 33 +3.512e-04	34 33 +1.100e-18	36 33 +2.328e-04	35 34 +1.100e-18	32 34 +1.100e-18	33 33 +1.100e-18	35 34 +1.100e-18	34 33 +1.100e-18
26 34 +1.862e-04	33 34 +1.100e-18	37 34 +1.090e-03	35 33 +1.100e-18	37 34 +6.440e-04	34 34 +1.100e-18	31 34 +1.100e-18	34 33 +1.100e-18	34 34 +1.100e-18	35 33 +1.100e-18
29 35 +1.100e-18	31 34 +1.100e-18	36 34 +1.100e-18	36 33 +2.396e-04	36 34 +1.100e-18	33 34 +1.100e-18	30 34 +1.100e-18	35 33 +1.100e-18	33 34 +1.100e-18	36 33 +1.100e-18
30 35 +1.100e-18	29 34 +1.100e-18	35 34 +1.100e-18	37 34 +6.940e-04	35 34 +1.100e-18	32 34 +1.100e-18	29 34 +1.100e-18	36 33 +2.302e-04	32 34 +1.100e-18	36 34 +1.100e-18
31 35 +1.100e-18	28 34 +1.100e-18	33 34 +1.100e-18	36 34 +1.100e-18	34 34 +1.100e-18	31 34 +1.100e-18	28 34 +1.100e-18	37 34 +5.240e-04	30 34 +1.100e-18	34 34 +1.100e-18
32 35 +5.240e-04	27 34 +1.100e-18	31 34 +1.100e-18	35 34 +1.100e-18	33 34 +1.100e-18	30 34 +1.100e-18	25 35 +1.914e-04	36 34 +1.100e-18	29 34 +1.100e-18	33 34 +1.100e-18
33 35 +1.100e-18	26 34 +1.420e-03	30 34 +1.100e-18	34 34 +1.100e-18	32 34 +1.100e-18	29 34 +1.100e-18	26 35 +1.100e-18	35 34 +1.100e-18	28 34 +1.100e-18	32 34 +1.100e-18
34 35 +1.100e-18	25 34 +1.100e-18	28 34 +1.100e-18	33 34 +1.100e-18	31 34 +1.100e-18	28 34 +1.100e-18	27 35 +1.100e-18	34 34 +1.100e-18	27 34 +1.540e-04	31 34 +1.100e-18
35 35 +1.100e-18	27 35 +1.100e-18	26 34 +1.100e-18	32 34 +1.100e-18	29 34 +1.100e-18	26 35 +1.100e-18	28 35 +1.100e-18	33 34 +1.100e-18	25 34 +1.100e-18	30 34 +1.100e-18
36 35 +1.100e-18	29 35 +1.100e-18	29 35 +1.100e-18	31 34 +1.100e-18	28 34 +1.100e-18	27 35 +1.100e-18	29 35 +1.100e-18	32 34 +1.100e-18	25 35 +2.844e-03	29 34 +1.100e-18
37 35 +1.100e-18	30 35 +1.100e-18	30 35 +1.100e-18	30 34 +1.100e-18	27 34 +1.608e-04	28 35 +1.100e-18	30 35 +1.100e-18	31 34 +1.100e-18	26 35 +2.404e-04	27 34 +1.758e-04
37 36 +1.100e-18	31 35 +1.100e-18	31 35 +1.100e-18	29 34 +1.100e-18	26 34 +2.026e-03	29 35 +1.100e-18	31 35 +1.982e-04	30 34 +1.100e-18	27 35 +1.100e-18	26 34 +2.078e-03
36 36 +1.100e-18	32 35 +1.100e-18	32 35 +1.100e-18	28 34 +1.100e-18	25 34 +1.100e-18	30 35 +1.100e-18	32 35 +1.100e-18	27 34 +1.100e-18	28 35 +1.100e-18	25 34 +1.100e-18
34 36 +1.100e-18	33 35 +1.100e-18	33 35 +1.100e-18	27 34 +1.392e-04	24 35 +1.100e-18	31 35 +1.100e-18	35 35 +1.100e-18	26 34 +2.072e-03	29 35 +1.100e-18	25 35 +1.100e-18
33 36 +1.100e-18	35 35 +1.100e-18	34 35 +1.100e-18	27 35 +1.100e-18	25 35 +5.432e-03	32 35 +1.100e-18	37 35 +1.100e-18	25 34 +1.100e-18	30 35 +1.100e-18	26 35 +1.100e-18
30 36 +1.100e-18	36 35 +1.100e-18	35 35 +1.100e-18	28 35 +1.100e-18	26 35 +2.678e-04	33 35 +3.674e-03	37 36 +6.088e-03	25 35 +3.194e-03	32 35 +1.100e-18	27 35 +1.100e-18
29 36 +1.100e-18	36 36 +6.100e-04	36 35 +1.100e-18	30 35 +1.100e-18	27 35 +1.100e-18	35 35 +1.100e-18	35 36 +1.100e-18	28 35 +1.100e-18	34 35 +1.100e-18	28 35 +1.100e-18
27 36 +1.100e-18	35 36 +1.100e-18	37 35 +3.366e-04	31 35 +1.100e-18	28 35 +1.100e-18	37 35 +1.100e-18	34 36 +1.100e-18	29 35 +1.100e-18	35 35 +1.100e-18	30 35 +1.100e-18
26 36 +1.100e-18	34 36 +1.100e-18	37 36 +1.688e-04	32 35 +1.100e-18	29 35 +1.100e-18	37 36 +1.100e-18	33 36 +1.100e-18	30 35 +1.100e-18	37 35 +1.100e-18	33 35 +3.702e-03
25 36 +1.100e-18	30 36 +1.100e-18	36 36 +1.100e-18	33 35 +1.100e-18	30 35 +1.100e-18	36 36 +1.100e-18	30 36 +1.100e-18	31 35 +1.100e-18	34 36 +3.664e-03	34 35 +2.074e-04
24 37 +1.100e-18	29 36 +1.100e-18	35 36 +1.100e-18	34 35 +1.100e-18	31 35 +1.100e-18	35 36 +1.100e-18	28 36 +1.100e-18	32 35 +1.100e-18	33 36 +6.690e-03	35 35 +1.100e-18
25 37 +1.100e-18	27 36 +1.100e-18	34 36 +1.100e-18	35 35 +1.100e-18	32 35 +1.100e-18	33 36 +3.820e-03	27 36 +1.100e-18	33 35 +1.100e-18	32 36 +1.100e-18	37 36 +1.100e-18
26 37 +1.100e-18	26 36 +1.100e-18	33 36 +1.100e-18	37 35 +2.308e-04	33 35 +1.100e-18	32 36 +1.782e-04	26 36 +1.100e-18	34 35 +1.100e-18	31 36 +1.100e-18	36 36 +1.100e-18
29 37 +1.100e-18	25 36 +8.900e-04	32 36 +1.100e-18	38 36 +1.100e-18	34 35 +1.100e-18	31 36 +1.100e-18	25 36 +1.100e-18	35 35 +1.100e-18	28 36 +1.100e-18	35 36 +1.100e-18
